marca	modelo	denominacion	periodo_desde	periodo_hasta	cilindrada	num_cilindros	combustible	potencia_kw	cvf	potencia_cv	valor_base_euros
ACE	1	1 PAVIMENTO 549 DA.			2200	4	D	74	14.10	100	33600
ACE	1	1 PAVIMENTO 573 DA.			2200	4	D	74	14.10	100	33600
ACE	1	1 PAVIMENTO 573 LDA.			2200	4	D	74	14.10	100	33600
ACE	1	1 PAVIMENTO 596 CDA.			2200	4	D	74	14.10	100	36500
ACE	1	1 PAVIMENTO 596 DA.			2200	4	D	74	14.10	100	36500
ACE	1	1 PAVIMENTO 596 LDA.			2200	4	D	74	14.10	100	36500
ACE	1	1 PAVIMENTO 640 LDA.			2200	4	D	74	14.10	100	37700
ACE	2	2 PAVIMENTO 596 DA.			2287	4	D	96	14.44	130	37900
ACE	2	2 PAVIMENTO 596 LDA.			2287	4	D	96	14.44	130	37900
ACE	2	2 PAVIMENTO 620 DDA.			2287	4	D	96	14.44	130	40300
ACE	2	2 PAVIMENTO 620 LDA.			2287	4	D	96	14.44	130	40300
ACE	2	2 PAVIMENTO 680 DDA.			3500	4	D	118	18.64	160	45200
ACE	2	2 PAVIMENTO 680 SDA.			3500	4	D	118	18.64	160	45200
ACE	2	2 PAVIMENTO 690 LDA.			3500	4	D	118	18.64	160	46000
ACE	PROFILÉ	PROFILÉ 620 CD.			2287	4	D	96	14.44	130	40100
ACE	PROFILÉ	PROFILÉ 620 SD.			2287	4	D	96	14.44	130	39600
ACE	PROFILÉ	PROFILÉ 621 CP.			2287	4	D	96	14.44	130	39600
ACE	PROFILÉ	PROFILÉ 675 SD.			2287	4	D	96	14.44	130	42500
ACE	PROFILÉ	PROFILÉ 676 LD.			2287	4	D	96	14.44	130	42500
ACE	PROFILÉ	PROFILÉ 677 CP.			2287	4	D	96	14.44	130	42500
ACE	PROFILÉ	PROFILÉ 680 SD.			3500	4	D	118	18.64	160	44300
ACE	PROFILÉ	PROFILÉ 690 DD.			3500	4	D	118	18.64	160	46100
ACE	PROFILÉ	PROFILÉ 690 DL.			3500	4	D	118	18.64	160	46100
ACROSS CAR	Across	Across Van 340 FIAT 2300 DS/CD/LD.			2300	4	D	103	14.49	140	42600
ACROSS CAR	Across	Across Van 410 FIAT 2300 DD/CD/LD.			2300	4	D	103	14.49	140	44300
ACROSS CAR	AERO	AERO 340 FDL/FDC.			2300	4	D	96	14.49	130	36600
ACROSS CAR	AERO	AERO 440 FDL.			2300	4	D	96	14.49	130	41400
ACROSS CAR	AERO	AERO 565 CD.			2000	4	D	85	13.32	115	39700
ACROSS CAR	AERO	AERO 565 LD.			2000	4	D	85	13.32	115	39700
ACROSS CAR	AERO	AERO 596 LD.			2000	4	D	85	13.32	115	40400
ACROSS CAR	AERO	AERO 596 SP.			2300	4	D	85	14.49	115	39800
ACROSS CAR	AERO	AERO 620 CD.			2300	4	D	96	14.49	130	41200
ACROSS CAR	AERO	AERO 620 SD.			2300	4	D	96	14.49	130	40400
ACROSS CAR	AERO	AERO 621 CP.			2300	4	D	96	14.49	130	40400
ACROSS CAR	AERO	AERO 650 SD.			2300	4	D	96	14.49	130	42300
ACROSS CAR	AERO	AERO 660 CD.			2300	4	D	96	14.49	130	42300
ACROSS CAR	AERO	AERO 660 LD.			2300	4	D	96	14.49	130	42300
ACROSS CAR	AERO	AERO 675 SD.			2300	4	D	96	14.49	130	44200
ACROSS CAR	AERO	AERO 676 LD.			2300	4	D	96	14.49	130	44200
ACROSS CAR	AERO	AERO 680 SD.			2300	4	D	96	14.49	130	44200
ACROSS CAR	AERO	AERO 690 GD.			2300	4	D	96	14.49	130	45800
ACROSS CAR	AERO	AERO 690 LD.			2300	4	D	96	14.49	130	45800
ACROSS CAR	AERO	AERO 737 CP.			2300	4	D	96	14.49	130	46400
ACROSS CAR	AERO	AERO 737 LD.			2300	4	D	96	14.49	130	45600
ACROSS CAR	AERO	AERO PERFILADA 596 LD FIAT.			2300	4	D	103	14.49	140	41600
ACROSS CAR	AERO	AERO PERFILADA 620 CD FIAT.			2300	4	D	103	14.49	140	42300
ACROSS CAR	AERO	AERO PERFILADA 620 SD FIAT.			2300	4	D	103	14.49	140	41600
ACROSS CAR	AERO	AERO PERFILADA 621 CP FIAT.			2300	4	D	103	14.49	140	41600
ACROSS CAR	AERO	AERO PERFILADA 650 SD FIAT.			2300	4	D	103	14.49	140	43300
ACROSS CAR	AERO	AERO PERFILADA 660 CD FIAT.			2300	4	D	103	14.49	140	43300
ACROSS CAR	AERO	AERO PERFILADA 660 LD FIAT.			2300	4	D	103	14.49	140	43300
ACROSS CAR	AERO	AERO PERFILADA 675 SD FIAT.			2300	4	D	103	14.49	140	45100
ACROSS CAR	AERO	AERO PERFILADA 676 LD FIAT.			2300	4	D	103	14.49	140	45100
ACROSS CAR	AERO	AERO PERFILADA 677 CD FIAT.			2300	4	D	103	14.49	140	36100
ACROSS CAR	AERO	AERO PERFILADA 677 CP FIAT.			2300	4	D	103	14.49	140	45100
ACROSS CAR	AERO	AERO PERFILADA 680 CD FIAT.			2300	4	D	103	14.49	140	45100
ACROSS CAR	AERO	AERO PERFILADA 680 SD FIAT.			2300	4	D	103	14.49	140	45100
ACROSS CAR	AERO	AERO PERFILADA 690 GD FIAT.			2300	4	D	103	14.49	140	46600
ACROSS CAR	AERO	AERO PERFILADA 690 LD FIAT.			2300	4	D	103	14.49	140	46600
ACROSS CAR	AERO	AERO PERFILADA 695 GD FIAT.			2300	4	D	103	14.49	140	46600
ACROSS CAR	AERO	AERO PERFILADA 695 LD FIAT.			2300	4	D	103	14.49	140	46600
ACROSS CAR	AERO	AERO PERFILADA 737 CP FIAT.			2300	4	D	103	14.49	140	47200
ACROSS CAR	COMPACT	COMPACT 546 CD FIAT.			2300	4	D	103	14.49	140	32000
ACROSS CAR	COMPACT	COMPACT 564 CD FIAT 2300.			2300	4	D	103	14.49	140	40500
ACROSS CAR	COMPACT	COMPACT 565 CD FIAT.			2300	4	D	103	14.49	140	38600
ACROSS CAR	COMPACT	COMPACT 565 DK FIAT.			2300	4	D	103	14.49	140	41000
ACROSS CAR	COMPACT	COMPACT 565 LD FIAT.			2300	4	D	103	14.49	140	40500
ACROSS CAR	COMPACT	COMPACT 585 CD FIAT.			2300	4	D	103	14.49	140	40500
ACROSS CAR	COMPACT	COMPACT 586 LD FIAT.			2300	4	D	103	14.49	140	41000
ACROSS CAR	COMPACT	COMPACT 587 LD FIAT.			2300	4	D	103	14.49	140	41000
ACROSS CAR	VAN	VAN 340 FIAT DS/CD/LD.			2300	4	D	103	14.49	140	33700
ACROSS CAR	VAN	VAN 410 FIAT DD/CD/LD.			2300	4	D	103	14.49	140	33000
ACROSS CAR	XSCAPE	XSCAPE 549 DA.			2200	4	D	85	14.10	115	39400
ACROSS CAR	XSCAPE	XSCAPE 549 DA FIAT.			2300	4	D	103	14.49	140	41000
ACROSS CAR	XSCAPE	XSCAPE 573 DA.			2200	4	D	85	14.10	115	40000
ACROSS CAR	XSCAPE	XSCAPE 573 DA FIAT.			2300	4	D	103	14.49	140	41500
ACROSS CAR	XSCAPE	XSCAPE 573 LDA.			2200	4	D	85	14.10	115	40000
ACROSS CAR	XSCAPE	XSCAPE 573 LDA FIAT.			2300	4	D	103	14.49	140	41500
ACROSS CAR	XSCAPE	XSCAPE 596 DA.			2200	4	D	96	14.10	130	41300
ACROSS CAR	XSCAPE	XSCAPE 596 DA FIAT.			2300	4	D	103	14.49	140	42800
ACROSS CAR	XSCAPE	XSCAPE 596 LDA.			2200	4	D	96	14.10	130	41300
